datetime,name,start,energy_10_20KHz,dB,ndsi_N,aci_N,BI_N,EAS_N,ECV_N,EPS_N,ndsi_W,aci_W,BI_W,EAS_W,ECV_W,EPS_W,ACT,POWERB_126,POWERB_251,POWERB_501,POWERB_1k,POWERB_2k,POWERB_4k,POWERB_8k,POWERB_16k
20220410_204642,20220410_204502T.WAV,100.0,74.25919534876904,-52.8791809646207,0.9999502891083577,2174.7808960991906,1.941926903731283,0.146246673031047,0.14619303768740055,0.2799098424767045,0.9999985079736736,3940.4465035059825,7.14026564493587,0.14403771537446797,0.16722842924381331,0.28488506969889293,0.0046770833333333334,-14.915120941843758,-18.655766110984956,-21.878520433620086,-22.514647332231267,-27.171070312482847,-11.174740550028195,25.29836781242838,40.47783000341839
20220410_204652,20220410_204502T.WAV,110.0,33.948604785193645,-47.187986638728134,0.9999536201977751,2222.4608380206473,8.382161118225568,0.14600350914359184,0.15115679228278855,0.2792431662428587,0.9999987272547272,4028.9123633349964,16.405844303570763,0.1409073787964097,0.1409430645269243,0.2966629001461063,0.030489583333333334,-11.014132189755204,-14.633090521816781,-16.90989368660213,-18.94883486524549,-21.048317256123998,-5.129734097392253,31.34538758842543,46.16654366564863
20220410_204702,20220410_204502T.WAV,120.0,40.61987017216921,-45.765123268443816,0.9999528189287105,2142.861990679915,15.186618620788296,0.14874098295986482,0.15115226423974992,0.29444146215363065,0.9999984798099221,3884.280146437139,25.67607346287678,0.14019859390349698,0.13502805228460468,0.30258373594992616,0.03542708333333333,-15.7822975610058,-19.352449447234687,-21.38399876826592,-17.340695590069277,-22.085018722649913,-3.8466223278037095,32.65837958879913,47.57692110638486
20220410_204712,20220410_204502T.WAV,130.0,25.20944672103301,-40.99873842218493,0.9999508915667691,2108.0968844633335,11.603675006668864,0.1495664172565876,0.15269829257008505,0.2942950999397147,0.999998508658939,3839.570168125909,23.923268048982845,0.14267880280261236,0.14243263552843077,0.3038932817085592,0.3128958333333333,-5.591413224751811,-13.189417218240632,-16.741927337451756,-17.092224325354152,-19.60024143699023,1.0625277243006321,37.307815501120196,52.35822320758289
20220410_204722,20220410_204502T.WAV,140.0,25.744823279979318,-41.9418971981115,0.9999468608615751,2172.6224219456553,7.715207238945346,0.15042040376217225,0.15849693443040735,0.29754897437465444,0.9999981375043061,3946.5755893473993,16.211325286698493,0.14307133671199335,0.1443653622880685,0.3036847907714759,0.21364583333333334,7.946967897142539,4.429755152902891,1.4922290292801945,0.9454861810943461,-3.1807385589620925,0.8667971925862183,36.215901073074924,51.42287892929442
20220410_204732,20220410_204502T.WAV,150.0,99.30556629450938,-50.0480971995087,0.999949436279829,2241.7361483511636,2.356683450680651,0.14947682297842713,0.18058793034598886,0.27908716616734475,0.999998453341513,4079.282015109178,7.704353398810677,0.16262176461929556,0.24916483640371812,0.2907118399253812,0.008489583333333333,-19.257802105283673,-26.552006027414365,-25.525954508582647,-20.92873950649137,-22.51188387047952,-8.478005074066466,28.305739631150573,43.30002539161384
20220410_204742,20220410_204502T.WAV,160.0,231.95073457479404,-47.75600682641488,0.9998797490690492,2183.15719487526,1.4256938340088778,0.14976930951753287,0.1690466225062247,0.27341180394493036,0.9999996937089266,3945.314930874351,9.616025001146422,0.1869142019679122,0.22033635419789688,0.28651878416814835,0.0037604166666666667,-12.595549224711622,-16.000923751289108,-18.13266312820597,-20.34638253830955,-23.09870076808234,-3.6435206561812845,27.439476397342393,45.81623701764802
20220410_204752,20220410_204502T.WAV,170.0,30.896602071352294,-56.29866225231284,0.9999533064778032,2133.2802949223887,12.136579576969078,0.14613624261558178,0.16315910250806798,0.264311707705977,0.9999986532069199,3884.482818658638,21.579986086079415,0.1371973505126176,0.14962092992933207,0.2724889838506812,0.0013125,-16.63194552488627,-20.38362655533437,-23.04720866833616,-23.971361850177438,-28.24149327403407,-14.335507046682816,21.79822767825474,37.03012812581761
20220410_204802,20220410_204502T.WAV,180.0,36.64184190884506,-56.53897655759949,0.9999517613353981,2106.6995518616923,8.567810599311557,0.14409626265303876,0.13983728242864502,0.26636860420412956,0.9999985268833029,3818.9448529167707,17.953160354141577,0.1364898329277282,0.1340398116156989,0.27388507383999694,0.00044791666666666667,-16.554012849920543,-27.6516901388866,-29.24688208341536,-27.44703353713613,-32.44207953492428,-14.690429299025432,21.670126871433002,36.7667427007964
20220410_204812,20220410_204502T.WAV,190.0,215.0908346581561,-50.68800905865913,0.9999425679741523,2209.813658250462,1.5996311274093469,0.20732637722792935,0.3487404730892917,0.28198317324458944,0.9999991801948641,3993.0536327868485,8.942443008745503,0.2116919371410878,0.2603618993659428,0.2777978103662604,0.0029375,-2.8422905232524585,-6.30343032982964,-9.100121206546515,-10.01807848560978,-14.013832946181761,-11.108347601957746,22.93467862550914,42.95025555642106
